dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,comp1,0.1,4082,0.28181151644198355,0.29885853482169583,0.060490850746412805
FB15k-237,comp1,0.2,8164,0.2644655201019587,0.2764916398334131,0.04547329922939691
FB15k-237,comp1,0.5,20410,0.34824673689060126,0.35418996702724503,0.017066147380760066
KG20C,comp1,0.1,745,0.18347930720883102,0.20206960004004906,0.10132092340014731
KG20C,comp1,0.2,1490,0.1777194650195331,0.19098860289275868,0.07466339082084894
KG20C,comp1,0.5,3724,0.15280602937308274,0.16548972905810339,0.08300523046805197
WN18RR,comp1,0.1,606,0.4354138164691949,0.44464150492671206,0.021192916045579713
WN18RR,comp1,0.2,1211,0.40444752367606884,0.4102264840695439,0.014288529550012807
WN18RR,comp1,0.5,3028,0.6541775587667173,0.657804889541453,0.0055448719176089956
YAGO3-10,comp1,0.1,998,0.6736813060959113,0.733158062392716,0.08828619075313493
YAGO3-10,comp1,0.2,1995,0.7380400873573906,0.7835702214524808,0.061690597672159564
YAGO3-10,comp1,0.5,4988,0.6895772989840552,0.7187976940071099,0.04237435754643415
codex-l,comp1,0.1,6113,0.4431368780977984,0.4635260358684761,0.046010970376015425
codex-l,comp1,0.2,12226,0.39068747922274855,0.40332473468632735,0.03234620031519797
codex-l,comp1,0.5,30564,0.3610986851224723,0.36712849373659734,0.016698506149586123
codex-m,comp1,0.1,2059,0.2819059117474035,0.2844104986656782,0.008884478167733079
codex-m,comp1,0.2,4119,0.3786979927656577,0.3823399643599854,0.009617087135134206
codex-m,comp1,0.5,10297,0.34981273642246985,0.35495899228329564,0.014711459375254643
hetionet,comp1,0.1,45004,0.542983179392183,0.6199917818090848,0.1418250239410832
hetionet,comp1,0.2,90008,0.5842732466553894,0.6569409827965645,0.1243728624528917
hetionet,comp1,0.5,225020,0.47881559666247114,0.5155286693592401,0.07667476363066128
FB15k-237,comp3,0.1,4082,0.28124066392591035,0.30239276924709896,0.07520998217654928
FB15k-237,comp3,0.2,8164,0.27672532933784894,0.2901221191672113,0.048411866963600225
FB15k-237,comp3,0.5,20410,0.3479428804736401,0.3535983402033663,0.01625398893642438
KG20C,comp3,0.1,745,0.1100510151504308,0.1268906197599365,0.15301634961283495
KG20C,comp3,0.2,1490,0.12221355411574804,0.13632627062148797,0.11547587015081673
KG20C,comp3,0.5,3724,0.15804482764114458,0.17042817953651068,0.07835341453554978
WN18RR,comp3,0.1,606,0.4249549178720075,0.4364147944379236,0.026967276019070896
WN18RR,comp3,0.2,1211,0.4021792834694445,0.4079231582593227,0.014281876332187027
WN18RR,comp3,0.5,3028,0.6560931702782924,0.6596988432060883,0.005495672095270354
YAGO3-10,comp3,0.1,998,0.6160781278873061,0.6677912672433016,0.08393925545341707
YAGO3-10,comp3,0.2,1995,0.7047370750554749,0.747628896384394,0.0608621610059934
YAGO3-10,comp3,0.5,4988,0.6692383367491832,0.697247738818369,0.04185265626778212
codex-l,comp3,0.1,6113,0.47755895243051627,0.4982418098799578,0.0433095376899062
codex-l,comp3,0.2,12226,0.4212844777771912,0.43512474018200953,0.03285253346585004
codex-l,comp3,0.5,30564,0.3620526515271662,0.3684720813427278,0.017730652678509484
codex-m,comp3,0.1,2059,0.3347340750670728,0.33898213478140854,0.012690849336102206
codex-m,comp3,0.2,4119,0.38066497261450094,0.38504967177071053,0.011518525400680879
codex-m,comp3,0.5,10297,0.3590706589811516,0.36432461767516383,0.014632102519654966
hetionet,comp3,0.1,45004,0.5396882727105752,0.6244833376188568,0.15711859826488328
hetionet,comp3,0.2,90008,0.5795769241691057,0.6589730834350027,0.1369898557982121
hetionet,comp3,0.5,225020,0.48209738473274977,0.5192373022805544,0.07703820581477161
FB15k-237,comp5,0.1,4082,0.26739783369510667,0.2809794686495306,0.05079186606242314
FB15k-237,comp5,0.2,8164,0.27151060283819384,0.2845950177659582,0.04819117482333457
FB15k-237,comp5,0.5,20410,0.3502013096952482,0.35588407723590804,0.016227145311378477
KG20C,comp5,0.1,745,0.1395468268469076,0.15529687495797587,0.11286568435086752
KG20C,comp5,0.2,1490,0.11541737001625131,0.12714299367230905,0.10159323206209536
KG20C,comp5,0.5,3724,0.15706507491557856,0.16873070946764415,0.07427261953897646
WN18RR,comp5,0.1,606,0.4388772850534779,0.45085999472215255,0.027303098330127895
WN18RR,comp5,0.2,1211,0.3999209543988326,0.40580542975660067,0.014714096105850949
WN18RR,comp5,0.5,3028,0.654875943884409,0.6585395893531442,0.005594411434636459
YAGO3-10,comp5,0.1,998,0.6908497568727768,0.7520643258015401,0.08860764344169292
YAGO3-10,comp5,0.2,1995,0.7349093035697624,0.7790711625562196,0.060091576976838645
YAGO3-10,comp5,0.5,4988,0.6695060150373042,0.7004265076479712,0.04618404004771204
codex-l,comp5,0.1,6113,0.43580692219487255,0.4553082878497613,0.044747718913396906
codex-l,comp5,0.2,12226,0.40434262860862974,0.4177914677985473,0.033260997575734086
codex-l,comp5,0.5,30564,0.36002327415446705,0.3663680979776111,0.017623371261330734
codex-m,comp5,0.1,2059,0.3140918828593514,0.3171968839754413,0.009885645842940605
codex-m,comp5,0.2,4119,0.37108698082347324,0.37502811939041314,0.010620525026758365
codex-m,comp5,0.5,10297,0.34789722015936536,0.353264189712818,0.015426882545925835
hetionet,comp5,0.1,45004,0.5256292756912192,0.6192625187040801,0.17813551745140188
hetionet,comp5,0.2,90008,0.5703291065281929,0.6545608111216438,0.14768964730942957
hetionet,comp5,0.5,225020,0.4583351063922235,0.4961556505480083,0.08251723166808778
FB15k-237,rule1,0.1,4082,0.3842229088736462,0.39316659022581224,0.023277324557207102
FB15k-237,rule1,0.2,8164,0.433125788247349,0.4389992187417857,0.013560565207173747
FB15k-237,rule1,0.5,20410,0.4306889291961635,0.4351633751303868,0.01038904329993895
KG20C,rule1,0.1,745,0.21620799256374773,0.22108350029713617,0.022550080945554773
KG20C,rule1,0.2,1490,0.21282821092541596,0.22154502439515142,0.04095703963226094
KG20C,rule1,0.5,3724,0.2650487743396707,0.2732440924225453,0.03092003765454865
WN18RR,rule1,0.1,606,0.4667422576181982,0.47440239205929,0.01641191539026643
WN18RR,rule1,0.2,1211,0.4476950091233807,0.4542827299995575,0.014714751654426594
WN18RR,rule1,0.5,3028,0.4611507542018554,0.4652517356865343,0.008892930234445151
YAGO3-10,rule1,0.1,998,0.6722587374184533,0.7035669069722909,0.04657160675079397
YAGO3-10,rule1,0.2,1995,0.7860558969008398,0.8112178295952706,0.03201036057821849
YAGO3-10,rule1,0.5,4988,0.6361230713514249,0.6626462329191873,0.0416950158896372
codex-l,rule1,0.1,6113,0.5101204205982451,0.5226311094056878,0.02452497156018718
codex-l,rule1,0.2,12226,0.5232307335904332,0.5325176033848817,0.01774909078968223
codex-l,rule1,0.5,30564,0.4291349818707799,0.43762805833703183,0.019791153891083546
codex-m,rule1,0.1,2059,0.3361038812422459,0.3393954595178491,0.009793336106198813
codex-m,rule1,0.2,4119,0.38211741674924715,0.38514676007750914,0.007927781345412832
codex-m,rule1,0.5,10297,0.359550287676163,0.36262291647332684,0.008545755357401541
hetionet,rule1,0.1,45004,0.5935944555754955,0.6629218158425894,0.11679246599411086
hetionet,rule1,0.2,90008,0.6019128170304492,0.6543582343958779,0.0871312520377443
hetionet,rule1,0.5,225020,0.5467275549574383,0.5798198358740275,0.06052791855198403
FB15k-237,rule3,0.1,4082,0.3981508940370119,0.4097176667244661,0.029051228719277677
FB15k-237,rule3,0.2,8164,0.4403665070820291,0.4479589647136168,0.017241224092851892
FB15k-237,rule3,0.5,20410,0.43072975238932737,0.4354480010776464,0.010954081212514621
KG20C,rule3,0.1,745,0.1846001672110592,0.19254095466903548,0.04301614444854396
KG20C,rule3,0.2,1490,0.1942447689873351,0.20691928528564452,0.06525023229395588
KG20C,rule3,0.5,3724,0.23284147131357383,0.24347758752992352,0.04567964699907656
WN18RR,rule3,0.1,606,0.8403350061445448,0.8412872656333741,0.0011331903132278942
WN18RR,rule3,0.2,1211,0.9094708390152118,0.9101213462659724,0.0007152590526871005
WN18RR,rule3,0.5,3028,0.8011269925462398,0.8037126011927377,0.0032274641480747324
YAGO3-10,rule3,0.1,998,0.6530073235381587,0.7158048067136492,0.096166583301452
YAGO3-10,rule3,0.2,1995,0.6505435837575068,0.6977193319827396,0.07251742912096382
YAGO3-10,rule3,0.5,4988,0.7179744973893228,0.7426922594132352,0.03442707521477484
codex-l,rule3,0.1,6113,0.4317365743526314,0.4403359690666551,0.019918152004884115
codex-l,rule3,0.2,12226,0.46512323881068646,0.47089468827593467,0.012408430677438798
codex-l,rule3,0.5,30564,0.42717021286227713,0.4350412258921528,0.01842594074417203
codex-m,rule3,0.1,2059,0.35660571152237686,0.3665635027294536,0.027923813010638954
codex-m,rule3,0.2,4119,0.35558713908079553,0.3622882191084479,0.0188451135914951
codex-m,rule3,0.5,10297,0.41540305013631834,0.4189388651815364,0.00851176957910571
hetionet,rule3,0.1,45004,0.5957743515638464,0.6673331644768383,0.12011059678073988
hetionet,rule3,0.2,90008,0.5941578486791858,0.6482222087707618,0.09099326081740933
hetionet,rule3,0.5,225020,0.5543296643892317,0.5874503526514735,0.05974908144007518
FB15k-237,rule5,0.1,4082,0.4661607092824905,0.47139077663264567,0.011219451245054968
FB15k-237,rule5,0.2,8164,0.44639598285122456,0.4508245355701146,0.009920682284378923
FB15k-237,rule5,0.5,20410,0.426568268972023,0.43099302385268085,0.010372911448197852
KG20C,rule5,0.1,745,0.18656323148562867,0.20826750101104774,0.11633733695854742
KG20C,rule5,0.2,1490,0.19832441641107568,0.21388526257328228,0.0784615754519753
KG20C,rule5,0.5,3724,0.22648707951437605,0.2365242229994984,0.04431662727358909
WN18RR,rule5,0.1,606,0.7461107315995967,0.7480250232716562,0.0025656937917986067
WN18RR,rule5,0.2,1211,0.7975913381485837,0.7994365930712392,0.0023135343055991076
WN18RR,rule5,0.5,3028,0.7389999282960802,0.74237324782038,0.004564708865503864
YAGO3-10,rule5,0.1,998,0.5629265722366837,0.6292218711717067,0.1177689990216857
YAGO3-10,rule5,0.2,1995,0.5968265154576752,0.6438204580289936,0.078739703002775
YAGO3-10,rule5,0.5,4988,0.7074318289172564,0.7342616920729182,0.03792572239324543
codex-l,rule5,0.1,6113,0.3522864437080955,0.36072768731690585,0.02396130694090748
codex-l,rule5,0.2,12226,0.44092330490648773,0.4468969508960265,0.01354803867943799
codex-l,rule5,0.5,30564,0.40647640549798697,0.4149124778399318,0.02075415012492421
codex-m,rule5,0.1,2059,0.2863797207858736,0.29968705508363713,0.04646744630257338
